feature,importance
main_freq_smoothness,0.18061410104024958
main_freq_velocity_mean,0.16846110819493118
main_freq_std,0.1661030712615171
main_freq_range,0.13907608443701117
main_freq_jump_ratio,0.07869762853627066
high_band_ratio,0.06673317936421154
pitch,0.03176960013527384
thickness_score,0.024484830897662773
energy,0.021722137574145442
zcr,0.021015118404930207
speech_rate,0.020285099947445612
low_mid_ratio,0.014542834747896697
pitch_std,0.013273071619176218
spectral_rolloff,0.013112554752282022
spectral_bandwidth,0.012241285967903907
pitch_velocity,0.011941075902222912
low_band_ratio,0.00804640148632268
spectral_centroid,0.007880815730546581
