feature,importance
pitch_std_delta,0.13116157640078088
pitch_std,0.11411279754006515
low_band_ratio,0.09598208814800302
energy_delta,0.08867038375076473
speech_rate_delta,0.07467648146163684
pitch_delta,0.06058171330757381
high_band_ratio,0.05042369562279172
low_mid_ratio,0.049662051252716284
spectral_bandwidth,0.049540366778634624
pitch_velocity_delta,0.04886675024815503
pitch_velocity,0.0470124721684277
zcr,0.04008004540111696
spectral_rolloff,0.035135713191743106
spectral_centroid_delta,0.030983535849142485
thickness_score_delta,0.029254881255997376
thickness_score,0.02904378592915491
spectral_centroid,0.024811661693295368
