feature,importance
spectralFlux_sma3_amean,0.06747437611635386
mfcc2_sma3_stddevNorm,0.06376107027346332
spectralFluxV_sma3nz_amean,0.05338572260771482
loudness_sma3_meanFallingSlope,0.03298391670664403
F2amplitudeLogRelF0_sma3nz_stddevNorm,0.03099255476742527
mfcc2V_sma3nz_amean,0.02767677794866243
loudness_sma3_percentile80.0,0.027048780386117865
loudness_sma3_pctlrange0-2,0.02257068760897753
spectralFluxUV_sma3nz_amean,0.021251112757322003
equivalentSoundLevel_dBp,0.019214316693291995
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.018815514322672994
loudness_sma3_stddevRisingSlope,0.018248615009208845
F3amplitudeLogRelF0_sma3nz_stddevNorm,0.017687442450460146
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,0.016985853659999245
logRelF0-H1-A3_sma3nz_stddevNorm,0.016854917247393745
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.01672414346331082
F1frequency_sma3nz_stddevNorm,0.016182020673415638
mfcc2V_sma3nz_stddevNorm,0.01601523889064515
F2frequency_sma3nz_amean,0.014762577735495152
loudness_sma3_meanRisingSlope,0.014658133925821448
mfcc2_sma3_amean,0.014642315638710218
loudness_sma3_amean,0.014287398648874919
MeanUnvoicedSegmentLength,0.013532082583295718
loudnessPeaksPerSec,0.013024485461670237
loudness_sma3_stddevFallingSlope,0.012010023203037123
F1bandwidth_sma3nz_amean,0.011630523747303645
mfcc3_sma3_amean,0.011419169362299893
StddevUnvoicedSegmentLength,0.01119069821924581
shimmerLocaldB_sma3nz_stddevNorm,0.010897593335327246
mfcc4V_sma3nz_amean,0.010543235560045326
mfcc4_sma3_amean,0.010464338384370197
mfcc1_sma3_stddevNorm,0.010462789729376584
slopeUV500-1500_sma3nz_amean,0.010404770497855518
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.00994973924305625
F2bandwidth_sma3nz_amean,0.009721511568858903
F3frequency_sma3nz_amean,0.009592976853357464
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.009551258507669282
hammarbergIndexV_sma3nz_amean,0.009531116117931943
F2amplitudeLogRelF0_sma3nz_amean,0.009463697332765898
logRelF0-H1-H2_sma3nz_stddevNorm,0.009400627746168228
logRelF0-H1-H2_sma3nz_amean,0.008659884382637654
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,0.008335002624671893
alphaRatioUV_sma3nz_amean,0.008265939439766426
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.007919819814884507
F3bandwidth_sma3nz_amean,0.007885655305732151
jitterLocal_sma3nz_amean,0.007727826107986462
loudness_sma3_percentile20.0,0.007202458140050547
F2bandwidth_sma3nz_stddevNorm,0.007091230172519373
slopeV0-500_sma3nz_amean,0.0069532616888289935
mfcc1V_sma3nz_stddevNorm,0.006890911830199422
F1amplitudeLogRelF0_sma3nz_amean,0.0068249316950975275
mfcc3V_sma3nz_amean,0.00679460955783081
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.006418013474162515
loudness_sma3_percentile50.0,0.006378447379386507
mfcc1V_sma3nz_amean,0.0063534141619469514
alphaRatioV_sma3nz_amean,0.006196192218680973
logRelF0-H1-A3_sma3nz_amean,0.0057847679458802
mfcc3V_sma3nz_stddevNorm,0.005677326989186884
F3frequency_sma3nz_stddevNorm,0.005539340083862873
MeanVoicedSegmentLengthSec,0.005289212719305508
alphaRatioV_sma3nz_stddevNorm,0.0052503098127181826
F1frequency_sma3nz_amean,0.005140753420445573
slopeV500-1500_sma3nz_amean,0.005107876661592347
F3amplitudeLogRelF0_sma3nz_amean,0.0050835693227394545
loudness_sma3_stddevNorm,0.004909957637766408
StddevVoicedSegmentLengthSec,0.004902121535519433
mfcc4_sma3_stddevNorm,0.004820783638961334
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.004537665057348694
F0semitoneFrom27.5Hz_sma3nz_amean,0.00448395255903469
hammarbergIndexUV_sma3nz_amean,0.004464097621151979
spectralFlux_sma3_stddevNorm,0.004455485682410119
HNRdBACF_sma3nz_amean,0.004431136519681798
jitterLocal_sma3nz_stddevNorm,0.0043812582885736796
F1bandwidth_sma3nz_stddevNorm,0.004193180056190901
hammarbergIndexV_sma3nz_stddevNorm,0.00417203176174278
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,0.003722309067171188
slopeV0-500_sma3nz_stddevNorm,0.003598828721294188
slopeV500-1500_sma3nz_stddevNorm,0.003502286050204561
F2frequency_sma3nz_stddevNorm,0.003306883321482892
HNRdBACF_sma3nz_stddevNorm,0.003193926384237677
VoicedSegmentsPerSec,0.002956334284381202
mfcc4V_sma3nz_stddevNorm,0.002926225380258695
mfcc3_sma3_stddevNorm,0.002745020456109466
shimmerLocaldB_sma3nz_amean,0.0025513782695992275
slopeUV0-500_sma3nz_amean,0.0022696779351503507
mfcc1_sma3_amean,0.002248855483498413
F3bandwidth_sma3nz_stddevNorm,0.002012546017941686
spectralFluxV_sma3nz_stddevNorm,0.0014291783345582133
