feature,importance
b1_80_500,0.06470654089896134
vts,0.05572798507182592
energy_rms,0.05468448761377148
mfcc_1,0.054090735629451214
b_6k_8k,0.04906859749879852
mfcc_10,0.047068960326392024
pitch_std,0.04477834594239469
mfcc_3,0.043937925111971
mfcc_energy,0.04202183672691397
mfcc_8,0.04080601218566067
mfcc_5,0.03635772699858659
voi,0.03570461948636978
mfcc_slope,0.03214793061581197
mfcc_var,0.03147514992832525
b2_500_1k,0.03089082330571601
mfcc_11,0.0296442121122709
pitch_mean,0.02601823989725787
b4_2k_4k,0.024718043456346053
speech_rate,0.02431301347476912
mfcc_6,0.02170602963592456
mfcc_12,0.02141277703124186
mfcc_4,0.02075013410884808
mfcc_13,0.020713565290984122
b5_4k_8k,0.01930219304966538
mfcc_2,0.01875779102405712
b3_1k_2k,0.016788035251033846
spectral_bandwidth,0.016701279387318205
mfcc_7,0.01655743272096958
mfcc_9,0.016173536200579867
zcr,0.01486833659427735
spectral_centroid,0.014063899839708072
spectral_rolloff,0.014043803583797684
