feature,importance
pitch_std_delta,0.12766935808396296
pitch_std,0.0936819248576924
low_band_ratio,0.08939265515762906
energy_delta,0.08447543088857155
speech_rate_delta,0.06556724814534676
pitch_delta,0.06340099679790412
energy,0.05987910610005771
pitch_velocity_delta,0.05670442256882431
low_mid_ratio,0.05617091469417976
high_band_ratio,0.05135600333515286
zcr,0.04665627816797861
pitch_velocity,0.04197034069422668
speech_rate,0.03923643524658142
spectral_centroid_delta,0.03488638971425754
thickness_score_delta,0.031788395353873886
spectral_centroid,0.03141751294447591
thickness_score,0.02574658724928451
